id	memo
C05	コモンズＦ
C06	デジタルウォレットパーク
C08	ポップアップステージ北
C09	夜の地球 Earth at Night
C23	コモンズＢ
E04	ポップアップステージ東外
E10	日本館
E11	EXPO ホール「シャインハット」
E12	ナショナルデーホール
E13	ギャラリー EAST
E14	ラウンジ＆ダイニング
E15	ポップアップステージ南
L01	ギャラリー WEST
L02	フューチャーライフエクスペリエンス
L03	TEAM EXPO パビリオン
L04	モビリティエクスペリエンス
L05	未来の都市
L06	EXPOアリーナ「Matsuri」
L07	ジュニアSDGsキャンプ
L08	万博サウナ「太陽のつぼみ」
L91	団体休憩所 西
P03	コモンズＡ
P06	（空室）
P07	空飛ぶクルマステーション
P10	ポップアップステージ 東内
P13	フェスティバル・ステーション
P14	ロボット＆モビリティ
P16	ミャクミャクハウス
P24	（団体？）休憩所
P25	団体休憩所
P29	国際機関館
P32	当日登録
P33	（団体？）休憩所
P36	北欧館
S01	コモンズＣ
S06	バルト館
S09	イタリア館
S10	休憩所
S14	コモンズＤ
S17	コモンズＥ
S18	団体休憩所
S19	団体休憩所
W01	リングサイドマーケットプレイス西
W02	TECH WORLD
W08	ポップアップステージ西
W11	EXPO メッセ「WASSE」
E81	東ゲートマーケットプレイス
W81	西ゲートマーケットプレイス
E82	リングサイドマーケットプレイス東
P81	ウォータープラザマーケットプレイス東
S81	ウォータープラザマーケットプレイス西
E83	JAPAN マルシェ
F81	EARTH TABLE 未来食堂
L81	風の広場マーケットプレイス（Ａ〜Ｄ）
L82	くら寿司
F82	スシロー
F83	まねき
F84	らぽっぽ
P82	月化粧ｘうなぎパイ
